Systematic Name,Transcriptional Plasticity
YFL047W,0.154303951
YBR107C,0.154339814
YPL174C,0.154347084
YGL151W,0.154350168
YLL042C,0.154356164
YGL244W,0.154461405
YDR315C,0.154491634
YOL034W,0.154528713
YDR187C,0.154540352
YLR145W,0.154571633
YDR348C,0.154598304
YOR080W,0.154598843
YHR103W,0.154853523
YPL215W,0.154859106
YPL040C,0.154881235
YGR241C,0.155002906
YPL071C,0.155075542
YJL181W,0.155079254
YER076C,0.155092973
YER077C,0.155156313
YLR144C,0.155360905
YER154W,0.155383381
YDR351W,0.1553931
YGR242W,0.155435238
YPL047W,0.155435564
YIR002C,0.155507365
YGL079W,0.155557399
YMR098C,0.155575021
YBR103W,0.155607349
YEL043W,0.15560811
YGL098W,0.155624204
YBR163W,0.155624482
YMR224C,0.155624652
YGR227W,0.155670052
YOR219C,0.155722017
YOR105W,0.155723502
YMR201C,0.155776436
YHR005C-A,0.155812978
YJL126W,0.15584215
YMR299C,0.155912123
YJL112W,0.155918787
YLR425W,0.156003596
YBR060C,0.156040808
YDR360W,0.156088084
YOR274W,0.156134474
YBR133C,0.156178401
YBR125C,0.156210704
YJR023C,0.156211054
YPR017C,0.156215781
YCR081W,0.156274717
YGR107W,0.156382733
YBR217W,0.156393063
YER100W,0.156528878
YDL053C,0.156540389
YPR153W,0.156571005
YKL116C,0.156615866
YKL070W,0.156779684
YOR320C,0.156782659
YLR433C,0.156798765
YDL141W,0.156808245
YHR101C,0.156828226
YKL130C,0.156834218
YBL063W,0.156882246
YMR294W-A,0.156888332
YGL112C,0.156890301
YOL137W,0.15698171
YMR028W,0.157034861
YOL134C,0.157067041
YNL094W,0.157071448
YJL004C,0.157115148
YJR098C,0.157128101
YOR307C,0.157180471
YGR072W,0.157191994
YJL127C,0.15726792
YLR371W,0.157286806
YKL203C,0.157309523
YPR135W,0.157384405
YDR421W,0.157414296
YBR228W,0.157427745
YPL216W,0.157517848
YJR144W,0.15761076
YBR128C,0.157612254
YCL032W,0.157709408
YDR036C,0.157725132
YHR012W,0.157754282
YMR234W,0.157754525
YIL106W,0.157803112
YKR084C,0.157862605
YPR130C,0.157945604
YMR216C,0.157969283
YHR182W,0.158031695
YKR087C,0.158051686
YPR055W,0.158065443
YPL002C,0.158078858
YOL114C,0.158099064
YJL193W,0.158111741
YDR081C,0.158135997
YJR075W,0.15814032
YER183C,0.158148479
YLR128W,0.158203074
YNL161W,0.158245738
YJL086C,0.158246374
YLR200W,0.158253984
YML050W,0.158303482
YGL095C,0.158313855
YLR404W,0.158383272
YIL173W,0.158415309
YFL009W,0.15846459
YNL314W,0.158514603
YDR390C,0.158576533
YAL069W,0.158636432
YPL191C,0.158648477
YDL005C,0.158665617
YCR066W,0.1587082
YGR184C,0.15884995
YDR142C,0.158863906
YDR239C,0.159008423
YPL096W,0.1590715
YMR111C,0.159121199
YJL133W,0.15918809
YMR124W,0.159194733
YGR096W,0.159218502
YGR168C,0.159236662
YGR003W,0.159290281
YBR130C,0.159325816
YNL263C,0.159358813
YGL247W,0.159418975
YML115C,0.159443556
YBL020W,0.159448167
YFL046W,0.159462048
YER122C,0.159494482
YOR104W,0.159574187
YNR062C,0.159587518
YJR058C,0.159592806
YLR087C,0.159603148
YLR086W,0.159613122
YCR076C,0.159693682
YJL186W,0.159774706
YGL040C,0.159791139
YDL071C,0.159815537
YDR283C,0.159870755
YNL136W,0.159878704
YGL019W,0.159892815
YKL048C,0.159977478
YLR116W,0.16007583
YMR026C,0.160076781
YGL220W,0.160107029
