Systematic Name,mRNA Isoform Number
YDR282C,14
YNR011C,14
YIL097W,14
YCR011C,14
YPL250C,14
YOR284W,14
YDR179C,14
YBR070C,14
YOL031C,14
YNL051W,14
YBR102C,14
YOL052C-A,14
YNL036W,14
YHR067W,14
YHR073W-A,14
YBR281C,14
YHR187W,14
YOR032W-A,14
YDR389W,14
YDL145C,14
YLR042C,14
YKL165C,14
YOL036W,14
YBR057C,14
YBR049C,14
YHL044W,14
YKL123W,14
YOL115W,14
YNL261W,14
YCL039W,14
YCL034W,14
YNL253W,14
YJR021C,14
YFR041C,14
YDR132C,14
YHR100C,14
YHR151C,14
YIL024C,14
YKL051W,14
YKR023W,14
YNL123W,14
YKR039W,14
YLL008W,14
YPR046W,14
YOR292C,14
YJR050W,14
YMR114C,14
YNL313C,14
YPL105C,14
YDR350C,14
YPL011C,14
YDR034W-B,14
YPL052W,14
YPR068C,14
YMR250W,14
YDL105W,14
YJR008W,14
YDR075W,14
YPL065W,14
YDL233W,14
YPL180W,14
YMR063W,14
YDR520C,14
YJL193W,14
YPL267W,14
YGL113W,14
YGL009C,14
YNL272C,14
YIL044C,15
YBR074W,15
YDR205W,15
YGR003W,15
YLR072W,15
YGL110C,15
YER079W,15
YOR056C,15
YHR028C,15
YGL254W,15
YNL224C,15
YKL086W,15
YPL051W,15
YNL287W,15
YNL289W,15
YPL255W,15
YHL019C,15
YHL021C,15
YHR046C,15
YPL119C-A,15
YPL095C,15
YCR095W-A,15
YOR087W,15
YLR144C,15
YER022W,15
YPL032C,15
YER081W,15
YMR165C,15
YOR037W,15
YDL036C,15
YMR156C,15
YOL102C,15
YDR395W,15
YLR010C,15
YPL120W,15
YNL073W,15
YPL055C,15
YOL017W,15
YDL224C,15
YLR376C,15
YPL222W,15
YDR436W,15
YOR195W,15
YDL013W,15
YBR004C,15
YIR032C,15
YFL034C-B,15
YBR006W,15
YLR431C,15
YIL104C,15
YMR130W,15
YPL228W,15
YLR099C,15
YMR028W,15
YML043C,15
YPR008W,15
YLR271W,15
YDR060W,15
YOR144C,15
YBR217W,15
YJR052W,15
YKL046C,15
YNR036C,15
YJL057C,15
YCR024C-B,15
YPL022W,15
YML011C,15
YOR166C,15
YLR251W,15
YFL047W,15
YGR058W,15
YGL163C,15
YPR155C,15
