Systematic Name,mRNA Level_D1
YDR287W,2.32192809488736
YKL187C,2.32192809488736
YLR233C,2.32192809488736
YOR296W,2.32192809488736
YLR128W,2.32192809488736
YMR096W,2.32192809488736
YPR096C,2.32192809488736
YFL047W,2.32192809488736
YPL128C,2.32192809488736
Q0045,2.32192809488736
YOR264W,2.32192809488736
Q0275,2.32192809488736
YPL060W,2.32192809488736
YJR122W,2.32192809488736
YOL015W,2.32192809488736
YNR062C,2.32192809488736
YLR151C,2.32192809488736
YHR197W,2.32192809488736
YLR122C,2.32192809488736
YGR067C,2.32192809488736
YDR108W,2.32192809488736
YDL049C,2.32192809488736
YIL101C,2.32192809488736
YOR154W,2.4594316186373
YFR026C,2.4594316186373
YOR129C,2.4594316186373
YJR138W,2.4594316186373
YDL091C,2.4594316186373
YMR284W,2.4594316186373
YBR136W,2.4594316186373
YIL028W,2.4594316186373
YBR297W,2.4594316186373
YEL020C,2.4594316186373
YIL061C,2.4594316186373
YKL215C,2.4594316186373
YPR104C,2.4594316186373
YKL188C,2.4594316186373
YER013W,2.4594316186373
YOL117W,2.4594316186373
YDR273W,2.4594316186373
YHR175W-A,2.4594316186373
YNL194C,2.4594316186373
YPL192C,2.4594316186373
YDR506C,2.4594316186373
YGL116W,2.4594316186373
YBR032W,2.4594316186373
YIL140W,2.4594316186373
YML080W,2.4594316186373
YNL095C,2.4594316186373
YOR058C,2.4594316186373
YHR139C-A,2.4594316186373
YBR231C,2.4594316186373
YCR023C,2.58496250072116
YLR207W,2.58496250072116
YNL106C,2.58496250072116
YNL230C,2.58496250072116
YNR069C,2.58496250072116
YNL282W,2.58496250072116
YNL325C,2.58496250072116
YNL054W,2.58496250072116
YIL026C,2.58496250072116
YOR229W,2.58496250072116
YMR301C,2.58496250072116
YNL187W,2.58496250072116
YLR289W,2.58496250072116
YER129W,2.58496250072116
YIL009W,2.58496250072116
YDR191W,2.58496250072116
YER116C,2.58496250072116
YER111C,2.58496250072116
YML118W,2.58496250072116
YOR069W,2.58496250072116
YCL061C,2.58496250072116
YML050W,2.58496250072116
YML020W,2.58496250072116
YML017W,2.58496250072116
YDR380W,2.58496250072116
YBR023C,2.58496250072116
YDR285W,2.58496250072116
YLR323C,2.58496250072116
YMR078C,2.58496250072116
YOR010C,2.58496250072116
YOR005C,2.58496250072116
YFR008W,2.58496250072116
YDR314C,2.58496250072116
YOR172W,2.58496250072116
YOL078W,2.58496250072116
YMR041C,2.58496250072116
YMR204C,2.58496250072116
YNR004W,2.58496250072116
YGR247W,2.58496250072116
YPL042C,2.58496250072116
YHR166C,2.58496250072116
YHR176W,2.58496250072116
YPR122W,2.58496250072116
YOR376W-A,2.58496250072116
YGR129W,2.58496250072116
YGR102C,2.58496250072116
YHR199C-A,2.58496250072116
YDL179W,2.58496250072116
YLL063C,2.58496250072116
YKR102W,2.58496250072116
YKR101W,2.58496250072116
YJL209W,2.58496250072116
YGR015C,2.58496250072116
YGL208W,2.58496250072116
YJL163C,2.58496250072116
YGL113W,2.58496250072116
YGR242W,2.58496250072116
YKL134C,2.58496250072116
YGR221C,2.58496250072116
YDL139C,2.58496250072116
YPR034W,2.58496250072116
YPR200C,2.58496250072116
YGL094C,2.58496250072116
YPR031W,2.58496250072116
YGL004C,2.58496250072116
YKR007W,2.58496250072116
YJL103C,2.58496250072116
YDL129W,2.58496250072116
YGL061C,2.58496250072116
YBR213W,2.58496250072116
YHL029C,2.58496250072116
YDR069C,2.58496250072116
YLR041W,2.58496250072116
YHR157W,2.58496250072116
YHR130C,2.58496250072116
YBR163W,2.58496250072116
YLR070C,2.58496250072116
YPL074W,2.58496250072116
YDR485C,2.58496250072116
YAR023C,2.58496250072116
YLR037C,2.58496250072116
YOR301W,2.58496250072116
YHR139C,2.58496250072116
YHL028W,2.58496250072116
YKL219W,2.58496250072116
YGR053C,2.58496250072116
YLR036C,2.58496250072116
YDL205C,2.58496250072116
YLR182W,2.70043971814109
YBL024W,2.70043971814109
YJL127C,2.70043971814109
YIL166C,2.70043971814109
YDR038C,2.70043971814109
YIL030W-A,2.70043971814109
YLR141W,2.70043971814109
YKL045W,2.70043971814109
YBL079W,2.70043971814109
YBR125C,2.70043971814109
YHR023W,2.70043971814109
YJL105W,2.70043971814109
YOL075C,2.70043971814109
YDR277C,2.70043971814109
YBL106C,2.70043971814109
YOL073C,2.70043971814109
YOL034W,2.70043971814109
YDR124W,2.70043971814109
YKR054C,2.70043971814109
YMR081C,2.70043971814109
YDR436W,2.70043971814109
YNR060W,2.70043971814109
YLR394W,2.70043971814109
YHR182W,2.70043971814109
YER158C,2.70043971814109
YHR189W,2.70043971814109
YFL041W-A,2.70043971814109
YPR168W,2.70043971814109
YOR381W,2.70043971814109
YNL142W,2.70043971814109
YJR056C,2.70043971814109
YLR433C,2.70043971814109
YHR140W,2.70043971814109
YDR058C,2.70043971814109
YKL171W,2.70043971814109
YLR431C,2.70043971814109
YOL055C,2.70043971814109
YPL008W,2.8073549220576
YJR108W,2.8073549220576
YEL062W,2.8073549220576
YMR247W-A,2.8073549220576
YJR097W,2.8073549220576
YJR031C,2.8073549220576
YJR089W,2.8073549220576
YGR113W,2.8073549220576
YDR315C,2.8073549220576
Q0080,2.8073549220576
YBR202W,2.8073549220576
YLR144C,2.8073549220576
YOL083W,2.8073549220576
YNR008W,2.8073549220576
YHR034C,2.8073549220576
YPR195C,2.8073549220576
YDL233W,2.8073549220576
YCR093W,2.8073549220576
YIL159W,2.8073549220576
YHL010C,2.8073549220576
YPR152C,2.8073549220576
YDL207W,2.8073549220576
YDR448W,2.8073549220576
YIL122W,2.8073549220576
YDR437W,2.8073549220576
YNR065C,2.8073549220576
YCR006C,2.8073549220576
YJL019W,2.8073549220576
YDL183C,2.8073549220576
YJL193W,2.8073549220576
YJL185C,2.8073549220576
YPR064W,2.8073549220576
YOL128C,2.8073549220576
YOL119C,2.8073549220576
YMR287C,2.8073549220576
YOL105C,2.8073549220576
YGR169C,2.8073549220576
YJL056C,2.8073549220576
YOL095C,2.8073549220576
YGR161W-C,2.8073549220576
YPR001W,2.8073549220576
YBR131W,2.8073549220576
YIR018W,2.8073549220576
YJL210W,2.8073549220576
YGR069W,2.8073549220576
YPL076W,2.8073549220576
YLR040C,2.8073549220576
YLR091W,2.8073549220576
YLR108C,2.8073549220576
YML059C,2.8073549220576
YKL023W,2.8073549220576
YFL034W,2.8073549220576
YFL033C,2.8073549220576
YLR045C,2.8073549220576
YDR166C,2.8073549220576
YDR260C,2.8073549220576
YDR125C,2.8073549220576
YDR263C,2.8073549220576
YLR245C,2.8073549220576
YKL078W,2.8073549220576
YKL092C,2.8073549220576
YER065C,2.8073549220576
YKL096C-B,2.8073549220576
YML064C,2.8073549220576
YPL236C,2.8073549220576
YER173W,2.8073549220576
YLL038C,2.8073549220576
YOR113W,2.8073549220576
YLR001C,2.8073549220576
YDR220C,2.8073549220576
YOR315W,2.8073549220576
YPL107W,2.8073549220576
YPL264C,2.8073549220576
YGL119W,2.8073549220576
YDR048C,2.8073549220576
YOR077W,2.8073549220576
YGL110C,2.8073549220576
YLR034C,2.8073549220576
YFL050C,2.8073549220576
YGL124C,2.8073549220576
YOR022C,2.8073549220576
YLR364W,2.8073549220576
YLR142W,2.8073549220576
YLR211C,2.8073549220576
YDL036C,2.8073549220576
YKL197C,2.8073549220576
YMR126C,2.8073549220576
YLR212C,2.8073549220576
YGR042W,2.8073549220576
YPL133C,2.8073549220576
YGR023W,2.8073549220576
YPL139C,2.8073549220576
YDL043C,2.8073549220576
YOR231W,2.8073549220576
YJR135C,2.8073549220576
YGR047C,2.8073549220576
YNL158W,2.90689059560852
YKR024C,2.90689059560852
YCL037C,2.90689059560852
YOL019W,2.90689059560852
YLR319C,2.90689059560852
YJR119C,2.90689059560852
YPL068C,2.90689059560852
YGR243W,2.90689059560852
YPL249C,2.90689059560852
YCR027C,2.90689059560852
YBL054W,2.90689059560852
YJL160C,2.90689059560852
YMR209C,2.90689059560852
YGR070W,2.90689059560852
YNL216W,2.90689059560852
YHR178W,2.90689059560852
YMR182C,2.90689059560852
YBL031W,2.90689059560852
YBR196C-A,2.90689059560852
YDR160W,2.90689059560852
YMR245W,2.90689059560852
YML060W,2.90689059560852
YPL153C,2.90689059560852
YPL158C,2.90689059560852
YGL035C,2.90689059560852
YGL041C-B,2.90689059560852
YDR356W,2.90689059560852
YKL048C,2.90689059560852
YDR359C,2.90689059560852
YGL056C,2.90689059560852
YFL049W,2.90689059560852
YOR013W,2.90689059560852
YOR371C,2.90689059560852
YMR228W,2.90689059560852
YDR364C,2.90689059560852
YKL033W,2.90689059560852
YDL240W,2.90689059560852
YIL011W,2.90689059560852
YML054C,2.90689059560852
YJL093C,2.90689059560852
YER066W,2.90689059560852
YGL209W,3.0
YNL053W,3.0
YDR540C,3.0
YGL180W,3.0
YLR135W,3.0
YNL020C,3.0
YLR237W,3.0
YIL113W,3.0
YLR011W,3.0
YIL132C,3.0
YFR028C,3.0
YHR090C,3.0
YLR103C,3.0
