Systematic Name,Protein Abundance_D1
YBR285W,1276.49549274013
YMR207C,1277.41378217681
YER005W,1277.61176482389
YML119W,1277.93913877496
YNL024C,1277.95083583511
YML081W,1279.4735846655
YNL260C,1279.71152804809
YGR052W,1280.6914203352
YMR040W,1280.75195739942
YNL214W,1281.40893136918
YMR141C,1281.60358371071
YIL013C,1282.1478585464
YKR091W,1282.91862808757
YLR341W,1283.30716935363
YJL102W,1283.67124887837
YOR026W,1283.78420588645
YDL203C,1284.30784093543
YOR037W,1284.40597023376
YJL051W,1285.01119872512
YGL186C,1287.26587633583
YHR004C,1287.95005772369
YEL068C,1288.73031232404
YDL133W,1289.88352819303
YMR064W,1290.09726071485
YGL216W,1290.5612452561
YGL219C,1292.70694251966
YGL118C,1293.53798901616
YBR276C,1295.02428380091
YER037W,1295.40459426764
YLL060C,1296.61343379066
YCR010C,1298.18767055675
YJL216C,1298.65936514558
YPR049C,1299.95624499282
YDL241W,1300.0
YNL101W,1304.72692720901
YJL116C,1305.06814717097
YPL072W,1305.51097628632
YGL142C,1306.7851081834
YGR015C,1308.05884535669
YJR122W,1308.63921345244
YDR042C,1308.91400234169
YIL173W,1310.00716473258
YPL189W,1311.48013077206
YLR032W,1311.80952811624
YOR301W,1315.83225679494
YML051W,1317.21700544448
YLR103C,1317.42916726077
YHR213W,1318.32795376932
YOL117W,1320.0
YLR242C,1321.5
YDR247W,1322.32195263654
YLL025W,1322.61139133546
YER075C,1323.57353684284
YPR186C,1324.13502327485
YHL042W,1324.32552908159
YJR120W,1325.18276122306
YGL226W,1325.31941008269
YOR349W,1325.52674734158
YLR260W,1325.96150252293
YMR281W,1330.04574530544
YNL106C,1332.12831897497
YFL042C,1332.27860024916
YPR093C,1332.90274085866
YDL085W,1334.63097689217
YDR437W,1335.21332200693
YLR422W,1336.30358418296
YOR148C,1336.67980876698
YER119C,1336.90247637264
YMR168C,1337.19783700234
YHL022C,1338.91324175102
YJR058C,1339.01502851571
YIL088C,1339.72536763963
YAL064C-A,1339.77231751025
YCR082W,1340.97672227361
YMR106C,1341.10122537488
YNL299W,1343.59354908548
YCR023C,1343.83643879229
YDL199C,1344.0275405708
YDL244W,1344.06931647146
YJL056C,1344.76663891704
YCL058C,1344.9290400026
YDR315C,1344.93469655932
YMR144W,1345.94414112792
YGR018C,1346.64881046832
YOL065C,1346.88494612105
YDL056W,1347.2958204278
YGR068C,1347.36133056143
YPL077C,1350.79102976473
YMR166C,1350.89619549455
