go_c,count,Systematic Name
Golgi transport complex,8,"['YER157W', 'YGL005C', 'YGL223C', 'YGR120C', 'YML071C', 'YNL041C', 'YNL051W', 'YPR105C']"
Golgi-associated vesicle,3,"['YDR170C', 'YMR192W', 'YPL249C']"
Gtr1-Gtr2 GTPase complex,2,"['YGR163W', 'YML121W']"
H4/H2A histone acetyltransferase complex,1,['YNL136W']
HDA1 complex,3,"['YDR295C', 'YNL021W', 'YPR179C']"
HICS complex,4,"['YDL117W', 'YER118C', 'YMR032W', 'YNL152W']"
HIR complex,4,"['YBL008W', 'YBR215W', 'YJR140C', 'YOR038C']"
HOPS complex,7,"['YAL002W', 'YDL077C', 'YDR080W', 'YLR148W', 'YLR396C', 'YMR231W', 'YPL045W']"
HULC complex,1,['YGL058W']
Holliday junction resolvase complex,2,"['YBR098W', 'YDR386W']"
Hrd1p ubiquitin ligase ERAD-L complex,12,"['YBR170C', 'YBR201W', 'YDL126C', 'YDR057W', 'YDR411C', 'YGR048W', 'YLR207W', 'YML013W', 'YML029W', 'YMR022W', 'YMR264W', 'YOL013C']"
Hrd1p ubiquitin ligase ERAD-M complex,2,"['YLR207W', 'YOL013C']"
Hrd1p ubiquitin ligase complex,1,['YOL013C']
INA complex,2,"['YIR024C', 'YPL099C']"
IRE1-TRAF2-ASK1 complex,1,['YHR079C']
Iml1 complex,3,"['YEL062W', 'YHL023C', 'YJR138W']"
Ino80 complex,15,"['YDL002C', 'YDR190C', 'YEL044W', 'YER092W', 'YFL013C', 'YFL039C', 'YGL150C', 'YJL081C', 'YLR052W', 'YNL059C', 'YNL215W', 'YOR141C', 'YOR189W', 'YPL129W', 'YPL235W']"
Isw1a complex,2,"['YBR245C', 'YFR013W']"
Isw1b complex,3,"['YBR245C', 'YLR095C', 'YMR044W']"
Kelch-containing formin regulatory complex,3,"['YAR014C', 'YGR238C', 'YHR158C']"
Ku70:Ku80 complex,2,"['YMR106C', 'YMR284W']"
L-cysteine desulfurase complex,2,"['YCL017C', 'YER048W-A']"
LINC complex,4,"['YGL075C', 'YJL019W', 'YOR326W', 'YPL200W']"
Las1 complex,1,['YKR063C']
Lem3p-Dnf1p complex,2,"['YER166W', 'YNL323W']"
Lid2 complex,1,['YGL131C']
Lsm1-7-Pat1 complex,8,"['YBL026W', 'YCR077C', 'YDR378C', 'YER112W', 'YER146W', 'YJL124C', 'YLR438C-A', 'YNL147W']"
Lst4-Lst7 complex,2,"['YGR057C', 'YKL176C']"
MBF transcription complex,6,"['YDL056W', 'YER111C', 'YLR182W', 'YNL309W', 'YNR009W', 'YPL239W']"
MCM complex,6,"['YBL023C', 'YBR202W', 'YEL032W', 'YGL201C', 'YLR274W', 'YPR019W']"
MCM core complex,3,"['YBR202W', 'YGL201C', 'YPR019W']"
MICOS complex,6,"['YBR262C', 'YCL057C-A', 'YFR011C', 'YGR235C', 'YKR016W', 'YNL100W']"
MIH complex,3,"['YGL106W', 'YMR032W', 'YPL242C']"
MIS complex,4,"['YBR057C', 'YCL055W', 'YGL192W', 'YNL196C']"
MIS12/MIND type complex,2,"['YIR010W', 'YPL233W']"
MLL3/4 complex,1,['YDR469W']
MOZ/MORF histone acetyltransferase complex,2,"['YJR082C', 'YPR031W']"
MUB1-RAD6-UBR2 ubiquitin ligase complex,3,"['YGL058W', 'YLR024C', 'YMR100W']"
Mcs4 RR-MAPKKK complex,1,['YLR006C']
Mis6-Sim4 complex,1,['YLR315W']
Mon1-Ccz1 complex,2,"['YBR131W', 'YGL124C']"
Mpp10 complex,3,"['YHR148W', 'YJR002W', 'YNL075W']"
Mre11 complex,4,"['YDR369C', 'YGL175C', 'YMR224C', 'YNL250W']"
MutLalpha complex,2,"['YMR167W', 'YNL082W']"
MutLbeta complex,2,"['YLR035C', 'YMR167W']"
MutLgamma complex,2,"['YMR167W', 'YPL164C']"
MutSalpha complex,2,"['YDR097C', 'YOL090W']"
MutSbeta complex,2,"['YCR092C', 'YOL090W']"
MutSgamma complex,2,"['YDL154W', 'YFL003C']"
Myo2p-Vac17p-Vac8p transport complex,3,"['YCL063W', 'YEL013W', 'YOR326W']"
NLS-dependent protein nuclear import complex,3,"['YGR202C', 'YLR347C', 'YNL189W']"
NMS complex,1,['YGL093W']
NatA complex,3,"['YDL040C', 'YHR013C', 'YOR253W']"
NatB complex,2,"['YOL076W', 'YPR131C']"
NatC complex,3,"['YCR020C-A', 'YEL053C', 'YPR051W']"
Nbp35-Cfd1 ATPase complex,2,"['YGL091C', 'YIL003W']"
Ndc80 complex,4,"['YER018C', 'YIL144W', 'YMR117C', 'YOL069W']"
Nem1-Spo7 phosphatase complex,2,"['YAL009W', 'YHR004C']"
Noc1p-Noc2p complex,2,"['YDR060W', 'YOR206W']"
Noc2p-Noc3p complex,2,"['YLR002C', 'YOR206W']"
Noc4p-Nop14p complex,2,"['YDL148C', 'YPR144C']"
Nrd1 complex,3,"['YLR430W', 'YNL251C', 'YPL190C']"
NuA3 histone acetyltransferase complex,6,"['YBL052C', 'YJR082C', 'YLR455W', 'YOR064C', 'YPL129W', 'YPR031W']"
NuA3a histone acetyltransferase complex,5,"['YBL052C', 'YJR082C', 'YOR064C', 'YPL129W', 'YPR031W']"
NuA3b histone acetyltransferase complex,5,"['YBL052C', 'YJR082C', 'YLR455W', 'YPL129W', 'YPR031W']"
NuA4 histone acetyltransferase complex,16,"['YDR190C', 'YDR359C', 'YEL018W', 'YFL024C', 'YFL039C', 'YGR002C', 'YHR090C', 'YHR099W', 'YJL081C', 'YJR082C', 'YNL107W', 'YNL136W', 'YOR244W', 'YPL235W', 'YPR023C', 'YPR034W']"
P granule,1,['YFL017W-A']
