go_c,count,Systematic Name
nucleus-vacuole junction,13,"['YAR042W', 'YBR097W', 'YDR179W-A', 'YEL013W', 'YER120W', 'YFL042C', 'YHR195W', 'YLL040C', 'YLR072W', 'YLR240W', 'YML104C', 'YNL231C', 'YPR091C']"
oligosaccharyltransferase I complex,1,['YGL226C-A']
oligosaccharyltransferase complex,9,"['YDL232W', 'YEL002C', 'YGL022W', 'YGL226C-A', 'YJL002C', 'YML019W', 'YMR149W', 'YOR085W', 'YOR103C']"
organelle membrane,1,['YDR517W']
organelle membrane contact site,1,['YLL040C']
origin recognition complex,3,"['YBR060C', 'YNL261W', 'YPR162C']"
outer membrane,2,"['YNL026W', 'YNL208W']"
outer plaque of mitotic spindle pole body,3,"['YAL047C', 'YNL225C', 'YOR373W']"
outer plaque of spindle pole body,6,"['YAL047C', 'YBR133C', 'YHR172W', 'YLR212C', 'YNL126W', 'YNL225C']"
oxoglutarate dehydrogenase complex,4,"['YDR148C', 'YFL018C', 'YIL125W', 'YPL017C']"
pICln-Sm protein complex,2,"['YGR074W', 'YLR147C']"
palmitoyltransferase complex,1,['YOL110W']
perinuclear endoplasmic reticulum,8,"['YAR042W', 'YDL019C', 'YDR294C', 'YGL160W', 'YHR073W', 'YIL090W', 'YLR312C', 'YNR008W']"
perinuclear endoplasmic reticulum membrane,1,['YKL100C']
perinuclear region of cytoplasm,20,"['YBR170C', 'YBR212W', 'YBR290W', 'YDL226C', 'YDR213W', 'YEL034W', 'YGL173C', 'YGR142W', 'YGR218W', 'YLR150W', 'YLR228C', 'YLR270W', 'YMR125W', 'YMR186W', 'YNL064C', 'YNL189W', 'YOR129C', 'YOR173W', 'YPL178W', 'YPL240C']"
periplasmic space,12,"['YBL016W', 'YDR321W', 'YGR040W', 'YIL101C', 'YKL157W', 'YLR155C', 'YLR157C', 'YLR158C', 'YLR160C', 'YLR377C', 'YMR008C', 'YPR026W']"
peroxisomal importomer complex,10,"['YDR244W', 'YDR265W', 'YDR424C', 'YGL153W', 'YGR077C', 'YJL210W', 'YLR191W', 'YMR026C', 'YNL214W', 'YOL147C']"
peroxisomal matrix,18,"['YBR222C', 'YDL078C', 'YDR142C', 'YDR256C', 'YEL020C', 'YGL205W', 'YGR077C', 'YIL160C', 'YIR031C', 'YIR037W', 'YJR019C', 'YJR111C', 'YKL026C', 'YLR284C', 'YNL117W', 'YNL202W', 'YOR084W', 'YOR180C']"
peroxisomal membrane,38,"['YAL055W', 'YBR041W', 'YBR168W', 'YBR222C', 'YCL056C', 'YDL065C', 'YDR244W', 'YDR265W', 'YDR329C', 'YDR479C', 'YER015W', 'YGL153W', 'YGR004W', 'YGR028W', 'YGR168C', 'YGR239C', 'YHR150W', 'YHR160C', 'YJL210W', 'YKL188C', 'YKL197C', 'YLR191W', 'YLR324W', 'YLR450W', 'YML075C', 'YMR018W', 'YMR026C', 'YMR163C', 'YMR204C', 'YNL214W', 'YNL329C', 'YOL044W', 'YOL147C', 'YOR193W', 'YPL112C', 'YPL147W', 'YPR128C', 'YPR165W']"
peroxisome,89,"['YAL055W', 'YBL039W-B', 'YBR041W', 'YBR168W', 'YBR222C', 'YBR255W', 'YCL056C', 'YCR005C', 'YDL022W', 'YDL065C', 'YDL078C', 'YDR142C', 'YDR244W', 'YDR255C', 'YDR256C', 'YDR265W', 'YDR329C', 'YDR424C', 'YDR479C', 'YDR498C', 'YEL020C', 'YER015W', 'YFL030W', 'YGL037C', 'YGL067W', 'YGL153W', 'YGL184C', 'YGL205W', 'YGR004W', 'YGR028W', 'YGR077C', 'YGR088W', 'YGR132C', 'YGR133W', 'YGR154C', 'YGR168C', 'YGR239C', 'YHR150W', 'YHR160C', 'YIL065C', 'YIL089W', 'YIL160C', 'YIR031C', 'YIR034C', 'YIR037W', 'YJL031C', 'YJL185C', 'YJL210W', 'YJR019C', 'YJR111C', 'YKL026C', 'YKL188C', 'YKL197C', 'YKR001C', 'YKR009C', 'YKR096W', 'YLL001W', 'YLL039C', 'YLR027C', 'YLR151C', 'YLR191W', 'YLR240W', 'YLR284C', 'YLR324W', 'YLR440C', 'YML042W', 'YMR018W', 'YMR026C', 'YMR163C', 'YMR204C', 'YMR220W', 'YMR304W', 'YNL009W', 'YNL117W', 'YNL202W', 'YNL214W', 'YNL258C', 'YNL329C', 'YOL044W', 'YOL147C', 'YOR084W', 'YOR180C', 'YOR193W', 'YPL112C', 'YPL147W', 'YPL204W', 'YPR128C', 'YPR165W', 'YPR194C']"
phagocytic vesicle,1,['YML001W']
phagophore,7,"['YDL149W', 'YFR021W', 'YGL180W', 'YMR159C', 'YNL242W', 'YNR007C', 'YPL149W']"
phenylalanine-tRNA ligase complex,2,"['YFL022C', 'YLR060W']"
"phosphatidylinositol 3-kinase complex, class III, type I",5,"['YBR097W', 'YBR128C', 'YLR211C', 'YLR240W', 'YPL120W']"
"phosphatidylinositol 3-kinase complex, class III, type II",4,"['YBR097W', 'YLR240W', 'YLR360W', 'YPL120W']"
phosphopantothenoylcysteine decarboxylase complex,3,"['YKL088W', 'YKR072C', 'YOR054C']"
phosphopyruvate hydratase complex,5,"['YGR254W', 'YHR174W', 'YMR323W', 'YOR393W', 'YPL281C']"
plasma membrane,513,"['YAL005C', 'YAL014C', 'YAL022C', 'YAL026C', 'YAL030W', 'YAL038W', 'YAL056W', 'YAR027W', 'YAR031W', 'YAR033W', 'YAR042W', 'YAR050W', 'YAR066W', 'YBL007C', 'YBL029C-A', 'YBL037W', 'YBL042C', 'YBL060W', 'YBL061C', 'YBL069W', 'YBL075C', 'YBL085W', 'YBL091C-A', 'YBL105C', 'YBL106C', 'YBR005W', 'YBR008C', 'YBR016W', 'YBR021W', 'YBR023C', 'YBR041W', 'YBR043C', 'YBR054W', 'YBR068C', 'YBR069C', 'YBR078W', 'YBR086C', 'YBR129C', 'YBR196C', 'YBR207W', 'YBR264C', 'YBR294W', 'YBR295W', 'YBR296C', 'YBR299W', 'YCL025C', 'YCL040W', 'YCL048W', 'YCL048W-A', 'YCL058C', 'YCL073C', 'YCR004C', 'YCR010C', 'YCR012W', 'YCR017C', 'YCR021C', 'YCR024C-A', 'YCR027C', 'YCR028C', 'YCR030C', 'YCR037C', 'YCR075C', 'YCR088W', 'YCR091W', 'YCR094W', 'YCR098C', 'YDL012C', 'YDL019C', 'YDL035C', 'YDL124W', 'YDL135C', 'YDL137W', 'YDL138W', 'YDL161W', 'YDL192W', 'YDL194W', 'YDL222C', 'YDL223C', 'YDL229W', 'YDL245C', 'YDL247W', 'YDR011W', 'YDR032C', 'YDR033W', 'YDR038C', 'YDR039C', 'YDR040C', 'YDR050C', 'YDR055W', 'YDR090C', 'YDR093W', 'YDR099W', 'YDR103W', 'YDR104C', 'YDR122W', 'YDR129C', 'YDR144C', 'YDR153C', 'YDR158W', 'YDR160W', 'YDR164C', 'YDR208W', 'YDR210W', 'YDR212W', 'YDR261C', 'YDR276C', 'YDR309C', 'YDR342C', 'YDR343C', 'YDR345C', 'YDR348C', 'YDR373W', 'YDR384C', 'YDR414C', 'YDR420W', 'YDR459C', 'YDR461W', 'YDR463W', 'YDR497C', 'YDR522C', 'YDR524C-B', 'YDR536W', 'YEL017C-A', 'YEL047C', 'YEL063C', 'YEL069C', 'YER008C', 'YER020W', 'YER048C', 'YER056C', 'YER060W', 'YER060W-A', 'YER067W', 'YER091C', 'YER093C', 'YER103W', 'YER118C', 'YER120W', 'YER123W', 'YER125W', 'YER143W', 'YER145C', 'YER155C', 'YER166W', 'YER177W', 'YER185W', 'YFL005W', 'YFL011W', 'YFL014W', 'YFL041W', 'YFL047W', 'YFL050C', 'YFL051C', 'YFL054C', 'YFR012W', 'YFR022W', 'YFR029W', 'YGL008C', 'YGL045W', 'YGL051W', 'YGL053W', 'YGL082W', 'YGL084C', 'YGL108C', 'YGL115W', 'YGL160W', 'YGL167C', 'YGL186C', 'YGL208W', 'YGL233W', 'YGL255W', 'YGR009C', 'YGR014W', 'YGR023W', 'YGR026W', 'YGR031C-A', 'YGR032W', 'YGR041W', 'YGR055W', 'YGR060W', 'YGR065C', 'YGR068C', 'YGR086C', 'YGR121C', 'YGR122W', 'YGR131W', 'YGR138C', 'YGR143W', 'YGR152C', 'YGR167W', 'YGR191W', 'YGR192C', 'YGR197C', 'YGR198W', 'YGR212W', 'YGR213C', 'YGR217W', 'YGR221C', 'YGR224W', 'YGR241C', 'YGR254W', 'YGR256W', 'YGR266W', 'YGR281W', 'YGR289C', 'YGR292W', 'YHL007C', 'YHL016C', 'YHL040C', 'YHL044W', 'YHR005C', 'YHR006W', 'YHR042W', 'YHR048W', 'YHR050W', 'YHR073W', 'YHR092C', 'YHR094C', 'YHR096C', 'YHR114W', 'YHR126C', 'YHR135C', 'YHR155W', 'YHR161C', 'YHR174W', 'YHR182W', 'YHR186C', 'YHR214W', 'YIL009W', 'YIL033C', 'YIL034C', 'YIL043C', 'YIL047C', 'YIL048W', 'YIL088C', 'YIL105C', 'YIL118W', 'YIL120W', 'YIL121W', 'YIL140W', 'YIL147C', 'YIR006C', 'YIR019C', 'YIR028W', 'YIR038C', 'YIR039C', 'YJL005W', 'YJL052W', 'YJL058C', 'YJL085W', 'YJL093C', 'YJL100W', 'YJL129C', 'YJL138C', 'YJL145W', 'YJL156C', 'YJL158C', 'YJL165C', 'YJL170C', 'YJL171C', 'YJL198W', 'YJL212C', 'YJL214W', 'YJL219W', 'YJR001W', 'YJR005W', 'YJR009C', 'YJR040W', 'YJR054W', 'YJR058C', 'YJR059W', 'YJR065C', 'YJR066W', 'YJR086W', 'YJR100C', 'YJR125C', 'YJR151C', 'YJR152W', 'YJR158W', 'YJR160C', 'YKL007W', 'YKL035W', 'YKL046C', 'YKL051W', 'YKL064W', 'YKL094W', 'YKL105C', 'YKL126W', 'YKL129C', 'YKL135C', 'YKL187C', 'YKL196C', 'YKL203C', 'YKL209C', 'YKL217W', 'YKL220C', 'YKR014C', 'YKR039W', 'YKR050W', 'YKR055W', 'YKR059W', 'YKR093W', 'YKR100C', 'YKR105C', 'YKR106W', 'YLL005C', 'YLL007C', 'YLL010C', 'YLL024C', 'YLL028W', 'YLL043W', 'YLL050C', 'YLL051C', 'YLL052C', 'YLL053C', 'YLL055W', 'YLL061W', 'YLR004C', 'YLR019W', 'YLR020C', 'YLR025W', 'YLR034C', 'YLR047C', 'YLR058C', 'YLR081W', 'YLR084C', 'YLR092W', 'YLR096W', 'YLR109W', 'YLR120C', 'YLR121C', 'YLR130C', 'YLR138W', 'YLR187W', 'YLR194C', 'YLR206W', 'YLR214W', 'YLR219W', 'YLR229C', 'YLR237W', 'YLR241W', 'YLR262C', 'YLR299W', 'YLR303W', 'YLR305C', 'YLR310C', 'YLR332W', 'YLR342W', 'YLR343W', 'YLR353W', 'YLR373C', 'YLR411W', 'YLR413W', 'YLR414C', 'YLR422W', 'YLR432W', 'YLR443W', 'YLR452C', 'YML002W', 'YML003W', 'YML006C', 'YML047C', 'YML052W', 'YML072C', 'YML087C', 'YML116W', 'YML125C', 'YML128C', 'YML132W', 'YMR006C', 'YMR008C', 'YMR011W', 'YMR017W', 'YMR031C', 'YMR032W', 'YMR034C', 'YMR058W', 'YMR063W', 'YMR068W', 'YMR086W', 'YMR109W', 'YMR120C', 'YMR162C', 'YMR183C', 'YMR186W', 'YMR192W', 'YMR212C', 'YMR215W', 'YMR238W', 'YMR246W', 'YMR251W-A', 'YMR266W', 'YMR306W', 'YMR307W', 'YMR319C', 'YNL006W', 'YNL012W', 'YNL019C', 'YNL033W', 'YNL047C', 'YNL065W', 'YNL084C', 'YNL087W', 'YNL090W', 'YNL093W', 'YNL098C', 'YNL128W', 'YNL142W', 'YNL145W', 'YNL154C', 'YNL173C', 'YNL180C', 'YNL183C', 'YNL192W', 'YNL194C', 'YNL209W', 'YNL231C', 'YNL243W', 'YNL257C', 'YNL271C', 'YNL275W', 'YNL279W', 'YNL283C', 'YNL291C', 'YNL293W', 'YNL294C', 'YNL318C', 'YNL322C', 'YNL323W', 'YNR002C', 'YNR047W', 'YNR048W', 'YNR049C', 'YNR060W', 'YNR070W', 'YNR072W', 'YOL002C', 'YOL009C', 'YOL011W', 'YOL019W', 'YOL020W', 'YOL078W', 'YOL084W', 'YOL086C', 'YOL103W', 'YOL105C', 'YOL109W', 'YOL113W', 'YOL122C', 'YOL130W', 'YOL132W', 'YOL152W', 'YOL156W', 'YOL158C', 'YOR008C', 'YOR011W', 'YOR018W', 'YOR030W', 'YOR047C', 'YOR049C', 'YOR071C', 'YOR086C', 'YOR101W', 'YOR104W', 'YOR129C', 'YOR153W', 'YOR161C', 'YOR171C', 'YOR188W', 'YOR192C', 'YOR212W', 'YOR273C', 'YOR275C', 'YOR301W', 'YOR306C', 'YOR317W', 'YOR322C', 'YOR327C', 'YOR328W', 'YOR348C', 'YOR353C', 'YOR371C', 'YOR378W', 'YOR381W', 'YOR384W', 'YOR390W', 'YPL004C', 'YPL036W', 'YPL056C', 'YPL058C', 'YPL092W', 'YPL158C', 'YPL176C', 'YPL180W', 'YPL204W', 'YPL232W', 'YPL240C', 'YPL249C', 'YPL265W', 'YPL274W', 'YPL279C', 'YPR032W', 'YPR055W', 'YPR075C', 'YPR124W', 'YPR149W', 'YPR156C', 'YPR159W', 'YPR165W', 'YPR171W', 'YPR192W', 'YPR194C', 'YPR201W']"
plasma membrane of growing cell tip,1,['YLR084C']
polar microtubule,2,"['YBL034C', 'YML085C']"
polarisome,6,"['YER149C', 'YLL021W', 'YLR319C', 'YNL271C', 'YNL293W', 'YOL112W']"
polysomal ribosome,3,"['YDR252W', 'YNL255C', 'YPL037C']"
polysome,29,"['YAL005C', 'YAL036C', 'YCL011C', 'YCL037C', 'YDL229W', 'YDR152W', 'YDR515W', 'YER176W', 'YGR072W', 'YGR078C', 'YGR178C', 'YGR285C', 'YHR064C', 'YHR077C', 'YJL080C', 'YKL204W', 'YLL024C', 'YLL032C', 'YLR150W', 'YML028W', 'YMR080C', 'YMR125W', 'YNL085W', 'YNL209W', 'YNL210W', 'YOR046C', 'YOR198C', 'YPL106C', 'YPL226W']"
pore complex,3,"['YIL114C', 'YMR203W', 'YNL055C']"
post-mRNA release spliceosomal complex,10,"['YAL032C', 'YBL051C', 'YCL011C', 'YDR416W', 'YGL120C', 'YGR093W', 'YJR050W', 'YLR117C', 'YNL004W', 'YPR112C']"
post-spliceosomal complex,1,['YJR050W']
pre-autophagosomal structure,38,"['YBL078C', 'YBR128C', 'YBR217W', 'YBR254C', 'YDL113C', 'YDL149W', 'YDR022C', 'YDR108W', 'YDR246W', 'YDR472W', 'YEL013W', 'YFL038C', 'YFR021W', 'YGL180W', 'YGL212W', 'YHR171W', 'YJL036W', 'YJL083W', 'YJL178C', 'YKR019C', 'YKR068C', 'YLR211C', 'YLR240W', 'YLR423C', 'YLR431C', 'YML077W', 'YMR159C', 'YNL242W', 'YNR007C', 'YOL082W', 'YOR115C', 'YPL100W', 'YPL120W', 'YPL149W', 'YPL166W', 'YPL204W', 'YPR049C', 'YPR185W']"
pre-autophagosomal structure membrane,25,"['YBR128C', 'YBR217W', 'YDL113C', 'YDL149W', 'YFL038C', 'YFR021W', 'YGL180W', 'YGR223C', 'YIL146C', 'YJL178C', 'YLL042C', 'YLR211C', 'YLR312C', 'YLR423C', 'YLR431C', 'YMR159C', 'YNL242W', 'YOL082W', 'YOL083W', 'YOR152C', 'YPL100W', 'YPL120W', 'YPL149W', 'YPL250C', 'YPR049C']"
pre-snoRNP complex,2,"['YHR040W', 'YJR055W']"
precatalytic spliceosome,16,"['YBL026W', 'YCR020C-A', 'YEL026W', 'YFL017W-A', 'YGR074W', 'YGR075C', 'YGR091W', 'YIR005W', 'YJR022W', 'YLR147C', 'YLR275W', 'YLR438C-A', 'YMR240C', 'YNL138W-A', 'YOR159C', 'YPR094W']"
prefoldin complex,6,"['YEL003W', 'YGR078C', 'YJL179W', 'YLR200W', 'YML094W', 'YNL153C']"
preribosome,2,"['YNL175C', 'YOL041C']"
"preribosome, large subunit precursor",61,"['YAL025C', 'YAL059W', 'YBL028C', 'YBR267W', 'YCL054W', 'YDL031W', 'YDL136W', 'YDL191W', 'YDR060W', 'YDR087C', 'YDR101C', 'YDR312W', 'YDR471W', 'YDR496C', 'YDR500C', 'YER002W', 'YER006W', 'YER056C-A', 'YER126C', 'YFL002C', 'YFR001W', 'YGL029W', 'YGL078C', 'YGL111W', 'YGR103W', 'YHR052W', 'YHR066W', 'YHR088W', 'YJL177W', 'YKL009W', 'YKL172W', 'YKL180W', 'YKR036C', 'YKR063C', 'YKR081C', 'YLL008W', 'YLL034C', 'YLR009W', 'YLR074C', 'YLR106C', 'YLR185W', 'YLR221C', 'YLR387C', 'YLR397C', 'YMR049C', 'YMR290C', 'YNL002C', 'YNL061W', 'YNL110C', 'YNL224C', 'YNR038W', 'YNR053C', 'YOL077C', 'YOL127W', 'YOR206W', 'YOR272W', 'YOR294W', 'YPL093W', 'YPL211W', 'YPR016C', 'YPR143W']"
"preribosome, small subunit precursor",23,"['YBL004W', 'YBR247C', 'YCL059C', 'YDL060W', 'YDL148C', 'YDR021W', 'YDR087C', 'YER082C', 'YGR081C', 'YGR271C-A', 'YJL010C', 'YJL109C', 'YKL143W', 'YNL132W', 'YNL178W', 'YNL207W', 'YNL224C', 'YOR056C', 'YOR119C', 'YPL012W', 'YPL204W', 'YPL266W', 'YPR144C']"
presequence translocase-associated import motor,7,"['YIL022W', 'YJL104W', 'YJR045C', 'YKR065C', 'YLR008C', 'YNL328C', 'YOR232W']"
prespliceosome,1,['YPR152C']
primary cell septum,1,['YMR307W']
primosome complex,2,"['YIR008C', 'YKL045W']"
prospore membrane,74,"['YAL018C', 'YBR023C', 'YBR045C', 'YBR059C', 'YBR102C', 'YBR148W', 'YBR180W', 'YBR260C', 'YCR002C', 'YCR030C', 'YDL225W', 'YDL239C', 'YDR104C', 'YDR166C', 'YDR218C', 'YDR273W', 'YDR523C', 'YER008C', 'YER046W', 'YER096W', 'YER155C', 'YFL040W', 'YFR023W', 'YFR032C', 'YGL015C', 'YGL138C', 'YGL233W', 'YGR032W', 'YGR059W', 'YGR241C', 'YGR266W', 'YHR015W', 'YHR107C', 'YHR142W', 'YHR158C', 'YHR161C', 'YHR184W', 'YIL068C', 'YIL099W', 'YJL085W', 'YJR036C', 'YJR058C', 'YJR076C', 'YKL092C', 'YKL096W', 'YKR031C', 'YLL040C', 'YLR054C', 'YLR307W', 'YLR314C', 'YLR319C', 'YLR380W', 'YML066C', 'YMR017W', 'YMR183C', 'YNL012W', 'YNL018C', 'YNL019C', 'YNL161W', 'YNL271C', 'YNR049C', 'YOL047C', 'YOL048C', 'YOL091W', 'YOR177C', 'YOR190W', 'YOR242C', 'YOR255W', 'YPL027W', 'YPL116W', 'YPL130W', 'YPL232W', 'YPR036W-A', 'YPR055W']"
prospore membrane leading edge,5,"['YDL239C', 'YDR273W', 'YHR184W', 'YOL015W', 'YPR054W']"
prospore septin filament array,1,['YBL105C']
proteasome complex,40,"['YBL041W', 'YDL007W', 'YDL097C', 'YDL147W', 'YDR069C', 'YDR363W-A', 'YDR394W', 'YDR427W', 'YER012W', 'YER021W', 'YER094C', 'YFR004W', 'YFR010W', 'YFR050C', 'YFR052W', 'YGL004C', 'YGL011C', 'YGL048C', 'YGL141W', 'YGR135W', 'YGR253C', 'YHL030W', 'YHR027C', 'YHR052W', 'YHR200W', 'YIL075C', 'YJL001W', 'YKL145W', 'YLR421C', 'YLR450W', 'YML092C', 'YMR314W', 'YOL038W', 'YOR117W', 'YOR157C', 'YOR259C', 'YOR261C', 'YOR362C', 'YPR103W', 'YPR108W']"
proteasome core complex,15,"['YBL041W', 'YBR295W', 'YER012W', 'YER094C', 'YFR050C', 'YGL011C', 'YGR135W', 'YGR253C', 'YJL001W', 'YML092C', 'YMR314W', 'YOL038W', 'YOR157C', 'YOR362C', 'YPR103W']"
"proteasome core complex, alpha-subunit complex",7,"['YGL011C', 'YGR135W', 'YGR253C', 'YML092C', 'YMR314W', 'YOL038W', 'YOR362C']"
"proteasome core complex, beta-subunit complex",7,"['YBL041W', 'YER012W', 'YER094C', 'YFR050C', 'YJL001W', 'YOR157C', 'YPR103W']"
proteasome regulatory particle,4,"['YFR010W', 'YFR052W', 'YOR261C', 'YPR108W']"
"proteasome regulatory particle, base subcomplex",10,"['YDL007W', 'YDR394W', 'YGL048C', 'YGR184C', 'YHR027C', 'YHR200W', 'YIL075C', 'YKL145W', 'YOR117W', 'YOR259C']"
"proteasome regulatory particle, lid subcomplex",10,"['YDL097C', 'YDL147W', 'YDR363W-A', 'YDR427W', 'YER021W', 'YFR004W', 'YFR052W', 'YLR421C', 'YOR261C', 'YPR108W']"
proteasome storage granule,25,"['YDL097C', 'YDL147W', 'YDR363W-A', 'YDR427W', 'YER012W', 'YER094C', 'YFL007W', 'YFR004W', 'YFR050C', 'YFR052W', 'YGL011C', 'YGL048C', 'YGR135W', 'YGR253C', 'YHR027C', 'YIL075C', 'YJL001W', 'YLR421C', 'YML092C', 'YMR314W', 'YOL038W', 'YOR157C', 'YOR261C', 'YOR362C', 'YPR103W']"
protein farnesyltransferase complex,2,"['YDL090C', 'YKL019W']"
protein kinase CK2 complex,4,"['YGL019W', 'YIL035C', 'YOR039W', 'YOR061W']"
protein phosphatase 4 complex,3,"['YBL046W', 'YDR075W', 'YNL201C']"
protein phosphatase type 1 complex,10,"['YBR045C', 'YBR050C', 'YDR028C', 'YDR130C', 'YER054C', 'YER133W', 'YIL045W', 'YKL193C', 'YLR273C', 'YOR178C']"
protein phosphatase type 2A complex,7,"['YAL016W', 'YDL047W', 'YDL134C', 'YGL190C', 'YIL153W', 'YOR014W', 'YPL152W']"
protein-DNA complex,1,['YER142C']
"proton-transporting ATP synthase complex, catalytic core F(1)",6,"['YBL099W', 'YBR039W', 'YDL004W', 'YDR298C', 'YJR121W', 'YPL271W']"
"proton-transporting ATP synthase complex, coupling factor F(o)",11,"['Q0080', 'Q0085', 'Q0130', 'YDR322C-A', 'YDR377W', 'YKL016C', 'YLR295C', 'YML081C-A', 'YOL077W-A', 'YPL078C', 'YPR020W']"
proton-transporting V-type ATPase complex,1,['YEL051W']
"proton-transporting V-type ATPase, V0 domain",7,"['YCL005W-A', 'YEL027W', 'YHR026W', 'YLR447C', 'YMR054W', 'YOR270C', 'YPL234C']"
"proton-transporting V-type ATPase, V1 domain",3,"['YBR127C', 'YGR020C', 'YKL080W']"
"proton-transporting two-sector ATPase complex, catalytic domain",1,['YOR332W']
"proton-transporting two-sector ATPase complex, proton-transporting domain",4,"['Q0130', 'YEL027W', 'YHR026W', 'YPL234C']"
pyruvate dehydrogenase complex,1,['YNL071W']
rDNA heterochromatin,11,"['YDR026C', 'YDR110W', 'YDR174W', 'YDR398W', 'YGR063C', 'YGR128C', 'YHR196W', 'YJL109C', 'YML010W', 'YMR093W', 'YPL126W']"
recycling endosome,4,"['YBL085W', 'YER031C', 'YER114C', 'YGL210W']"
replication compartment,2,"['YLR044C', 'YOL086C']"
replication fork,12,"['YBR088C', 'YDL102W', 'YDR076W', 'YDR419W', 'YHR031C', 'YIL150C', 'YJL090C', 'YLR430W', 'YML061C', 'YNL102W', 'YNL262W', 'YOR346W']"
replication fork protection complex,27,"['YBL002W', 'YBL003C', 'YBL023C', 'YBR009C', 'YBR010W', 'YBR202W', 'YCL061C', 'YDR013W', 'YDR224C', 'YDR225W', 'YDR489W', 'YEL032W', 'YGL201C', 'YGL207W', 'YIL150C', 'YJL072C', 'YLR103C', 'YLR274W', 'YML069W', 'YMR048W', 'YNL030W', 'YNL031C', 'YNL273W', 'YOL006C', 'YOL146W', 'YPR019W', 'YPR135W']"
replisome,3,"['YBR170C', 'YDL126C', 'YGR048W']"
respiratory chain,16,"['Q0045', 'Q0105', 'Q0250', 'YBL045C', 'YDR529C', 'YEL024W', 'YEL039C', 'YFR033C', 'YGR183C', 'YHR001W-A', 'YJL166W', 'YJR048W', 'YKL192C', 'YML054C', 'YOR065W', 'YPR191W']"
respiratory chain complex III,1,['Q0105']
respiratory chain complex IV,3,"['Q0045', 'YLR038C', 'YMR244C-A']"
retromer complex,6,"['YHR012W', 'YJL053W', 'YJL154C', 'YOR069W', 'YOR132W', 'YOR357C']"
"retromer, cargo-selective complex",3,"['YHR012W', 'YJL053W', 'YJL154C']"
"retromer, tubulation complex",2,"['YOR069W', 'YOR132W']"
riboflavin synthase complex,1,['YOL143C']
ribonuclease H2 complex,3,"['YDR279W', 'YLR154C', 'YNL072W']"
ribonuclease MRP complex,11,"['YAL033W', 'YBL018C', 'YBR167C', 'YBR257W', 'YDR478W', 'YGR030C', 'YHR062C', 'YLR145W', 'YML017W', 'YNL221C', 'YNL282W']"
ribonuclease P complex,3,"['YAL033W', 'YBR257W', 'YML091C']"
ribonucleoprotein complex,28,"['YBL051C', 'YCL011C', 'YDL051W', 'YDL208W', 'YDR385W', 'YEL026W', 'YER165W', 'YFL017W-A', 'YFR023W', 'YHL033C', 'YHL034C', 'YHR015W', 'YHR034C', 'YIR021W', 'YKL173W', 'YLL045C', 'YMR268C', 'YNL004W', 'YNL112W', 'YNL147W', 'YNL163C', 'YNR051C', 'YOR133W', 'YOR198C', 'YOR319W', 'YOR350C', 'YPL043W', 'YPR112C']"
ribonucleoside-diphosphate reductase complex,4,"['YER070W', 'YGR180C', 'YIL066C', 'YJL026W']"
ribose phosphate diphosphokinase complex,5,"['YBL068W', 'YER099C', 'YHL011C', 'YKL181W', 'YOL061W']"
