complex,count,Systematic Name
NuA3b histone acetyltransferase complex,5,"['YBL052C', 'YJR082C', 'YLR455W', 'YPL129W', 'YPR031W']"
NuA4 histone acetyltransferase complex,16,"['YDR181C', 'YDR359C', 'YEL018W', 'YFL024C', 'YFL039C', 'YGR002C', 'YHR090C', 'YHR099W', 'YJL081C', 'YJR082C', 'YMR127C', 'YNL107W', 'YNL136W', 'YOR213C', 'YOR244W', 'YPR023C']"
P-body,43,"['YAL021C', 'YBL026W', 'YBL032W', 'YBR094W', 'YBR172C', 'YBR212W', 'YBR238C', 'YCR077C', 'YDL160C', 'YDR206W', 'YDR293C', 'YDR378C', 'YDR404C', 'YDR505C', 'YDR533C', 'YEL015W', 'YER112W', 'YGL049C', 'YGL173C', 'YGR109W-A', 'YGR162W', 'YHL034C', 'YIL082W', 'YJL124C', 'YJL140W', 'YLR270W', 'YML017W', 'YML091C', 'YNL016W', 'YNL085W', 'YNL118C', 'YNL157W', 'YNL197C', 'YNL255C', 'YNR051C', 'YNR052C', 'YOL149W', 'YOR173W', 'YOR359W', 'YPL105C', 'YPL184C', 'YPL280W', 'YPR129W']"
PAN complex,2,"['YGL094C', 'YKL025C']"
PAS complex,5,"['YFR019W', 'YFR021W', 'YLR386W', 'YNL054W', 'YNL325C']"
PCNA complex,1,['YBR088C']
PeBoW complex,3,"['YGR103W', 'YMR049C', 'YOR272W']"
Pex17p-Pex14p docking complex,21,"['YDL065C', 'YDL078C', 'YDR244W', 'YDR265W', 'YDR424C', 'YGL153W', 'YGR077C', 'YGR132C', 'YGR231C', 'YJL210W', 'YKR096W', 'YLL039C', 'YLR191W', 'YML042W', 'YMR026C', 'YNL009W', 'YNL214W', 'YOL147C', 'YPL112C', 'YPL147W', 'YPL204W']"
Pho85-Pho80 CDK-cyclin complex,2,"['YOL001W', 'YPL031C']"
Piccolo NuA4 histone acetyltransferase complex,6,"['YDR181C', 'YFL024C', 'YHR090C', 'YMR127C', 'YOR213C', 'YOR244W']"
Pip2-Oaf1 complex,2,"['YAL051W', 'YOR363C']"
Prp19 complex,10,"['YBR188C', 'YDL209C', 'YDR416W', 'YGR129W', 'YJR050W', 'YLL036C', 'YLR117C', 'YMR213W', 'YPL151C', 'YPR101W']"
Pwp2p-containing subcomplex of 90S preribosome,6,"['YCR057C', 'YDR449C', 'YJL069C', 'YLR129W', 'YLR222C', 'YLR409C']"
R2TP complex,4,"['YCR060W', 'YDR190C', 'YHR034C', 'YPL235W']"
RAVE complex,3,"['YDR202C', 'YDR328C', 'YJR033C']"
RENT complex,3,"['YDL042C', 'YFR028C', 'YJL076W']"
RES complex,3,"['YGL174W', 'YIR005W', 'YLR016C']"
RIC1-RGP1 guanyl-nucleotide exchange factor complex,2,"['YDR137W', 'YLR039C']"
RNA polymerase I core factor complex,4,"['YBL014C', 'YER148W', 'YJL025W', 'YML043C']"
RNA polymerase I transcription factor complex,8,"['YBL014C', 'YBL025W', 'YER148W', 'YJL025W', 'YLR141W', 'YML043C', 'YMR270C', 'YOR295W']"
